udid,observationTime,timeDiff,eclipseType,maxEclipse,timeSubmit,totalBegins,obscuration,flying,hear,perchedAlone,perchedOthers,sing,sitting,swimming,walking,other,eating,obscuration_bins,timeDiff_bins
577D413C-A592-4F35-BFDC-7A4090B96FBC,before,0 days 00:37:36.387903750,total,2024-04-08 15:06:00,2024-04-08 14:17:47.559310,2024-04-08 15:04:00,1.0,False,False,True,False,False,False,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
577D413C-A592-4F35-BFDC-7A4090B96FBC,before,0 days 00:51:13.935076,total,2024-04-08 15:06:00,2024-04-08 14:14:46.064924,2024-04-08 15:04:00,1.0,False,True,False,False,False,False,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
577D413C-A592-4F35-BFDC-7A4090B96FBC,before,0 days 00:24:03.979541666,total,2024-04-08 15:06:00,2024-04-08 14:34:08.203210,2024-04-08 15:04:00,1.0,False,False,False,False,False,True,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
577D413C-A592-4F35-BFDC-7A4090B96FBC,during,0 days 00:01:24.072471500,total,2024-04-08 15:06:00,2024-04-08 15:04:24.851843,2024-04-08 15:04:00,1.0,True,False,False,False,False,False,False,False,False,False,1,"(0 days 00:00:00, 0 days 00:05:00]"
577D413C-A592-4F35-BFDC-7A4090B96FBC,after,0 days 00:05:59.050164,total,2024-04-08 15:06:00,2024-04-08 15:11:27.193695,2024-04-08 15:04:00,1.0,False,False,False,False,True,False,False,False,False,False,1,"(0 days 00:05:00, 0 days 00:15:00]"
577D413C-A592-4F35-BFDC-7A4090B96FBC,after,0 days 00:08:34.400295,total,2024-04-08 15:06:00,2024-04-08 15:14:34.400295,2024-04-08 15:04:00,1.0,True,False,False,False,False,False,False,False,False,True,1,"(0 days 00:05:00, 0 days 00:15:00]"
577D413C-A592-4F35-BFDC-7A4090B96FBC,after,0 days 00:15:11.956150500,total,2024-04-08 15:06:00,2024-04-08 15:15:56.138022,2024-04-08 15:04:00,1.0,True,False,False,False,True,False,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
577D413C-A592-4F35-BFDC-7A4090B96FBC,after,0 days 00:02:46.694519,total,2024-04-08 15:06:00,2024-04-08 15:08:46.694519,2024-04-08 15:04:00,1.0,True,False,False,False,False,False,False,False,False,False,1,"(0 days 00:00:00, 0 days 00:05:00]"
57954144d4b0d449,before,0 days 00:44:00.367820,total,2024-04-08 15:27:00,2024-04-08 14:42:59.632180,2024-04-08 15:26:00,1.0,True,False,False,False,False,False,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
57954144d4b0d449,after,0 days 00:05:53.612947,total,2024-04-08 15:27:00,2024-04-08 15:30:28.712459,2024-04-08 15:26:00,1.0,True,False,False,False,False,False,False,False,False,False,1,"(0 days 00:05:00, 0 days 00:15:00]"
57C92107-B32E-42D2-934A-488B1A364803,before,0 days 00:15:12.471106,total,2024-04-08 15:08:00,2024-04-08 14:53:14.188505,2024-04-08 15:06:00,1.0,False,False,False,False,False,True,False,False,False,False,1,"(0 days 00:15:00, 0 days 01:00:00]"
57D818B1-2861-48E7-BA64-7A3DC472C838,before,0 days 01:10:20.277749,total,2024-04-08 15:09:00,2024-04-08 13:58:39.722251,2024-04-08 15:07:00,1.0,True,False,False,True,True,True,False,False,False,False,1,"(0 days 01:00:00, 0 days 01:30:00]"
57D818B1-2861-48E7-BA64-7A3DC472C838,before,0 days 01:31:40.428775,total,2024-04-08 15:09:00,2024-04-08 13:37:19.571225,2024-04-08 15:07:00,1.0,False,False,False,False,True,False,True,False,False,False,1,"(0 days 01:30:00, 0 days 02:00:00]"
57E8CE81-5C68-450C-AF95-467ED7ECD5E2,before,0 days 01:18:51.874009,partial,2024-04-08 15:17:00,2024-04-08 13:58:08.125991,2024-04-08 14:01:00,0.999,False,False,False,True,False,False,False,False,False,False,1,"(0 days 01:00:00, 0 days 01:30:00]"
